                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2058,                 3.8071,                 5.9475,                 1.5022,                0.00298,                0.56764,                0.02216,                 0.0072,                0.00282,                0.53758,                0.02589,                 0.0099,                 1.9918,                 3.3169,                   4.65,                 1.3683,             0.00017136,             0.00017136,             0.00017136
                      2,                 2.0681,                 2.9775,                 4.6924,                 1.2879,                0.00326,                0.62133,                0.02292,                0.00709,                0.00317,                0.60415,                0.02741,                0.00817,                 1.9763,                 3.0691,                 4.6495,                 1.3516,             0.00034813,             0.00034813,             0.00034813
                      3,                 2.0262,                 2.9291,                 3.7849,                  1.304,                0.00343,                0.65497,                0.01589,                0.00416,                0.00301,                 0.5748,                0.01314,                0.00344,                 2.1576,                 3.4505,                 4.7533,                 1.3975,             0.00052313,             0.00052313,             0.00052313
                      4,                 2.0313,                 2.8756,                 3.3519,                 1.3215,                0.00252,                 0.4796,                0.01532,                0.00678,                0.00234,                0.44596,                0.01428,                0.00688,                 2.3535,                 3.3755,                 3.8599,                  1.619,             0.00069636,             0.00069636,             0.00069636
                      5,                 2.0408,                 2.9102,                 3.0654,                 1.3299,                0.45088,                0.12169,                0.13363,                0.05908,                0.45543,                0.12026,                0.12771,                0.05174,                 2.1619,                 3.7066,                 3.1328,                  1.612,             0.00069986,             0.00069986,             0.00069986
                      6,                 1.9962,                 2.7554,                  2.713,                 1.3105,                0.42786,                0.16166,                0.15235,                0.06349,                0.42585,                0.15605,                 0.1376,                0.04812,                 2.2643,                 3.8546,                 2.9334,                 1.5924,             0.00069633,             0.00069633,             0.00069633
                      7,                 1.9336,                 2.7043,                 2.4996,                 1.2974,                0.41868,                0.19591,                 0.1668,                0.07123,                0.39879,                 0.1866,                0.15106,                0.05601,                 2.1894,                 3.6142,                 2.8805,                 1.5877,             0.00069279,             0.00069279,             0.00069279
                      8,                 1.8591,                 2.6208,                 2.3022,                 1.2529,                0.36685,                0.21403,                0.18416,                0.07128,                0.37789,                0.22047,                 0.1863,                0.07228,                 2.1982,                 3.3361,                 2.6608,                 1.5977,             0.00068926,             0.00068926,             0.00068926
                      9,                 1.9187,                 2.6807,                 2.1716,                  1.258,                0.41625,                0.21117,                0.20578,                0.08688,                0.43382,                0.21664,                0.21295,                0.08456,                 2.1507,                 3.0726,                 2.6512,                 1.5209,             0.00068573,             0.00068573,             0.00068573
                     10,                 1.8631,                  2.598,                 2.0304,                 1.2441,                0.39877,                0.25698,                0.25073,                0.10691,                0.39378,                0.25268,                0.23476,                 0.0976,                 2.1341,                 3.0629,                 2.2899,                 1.5269,             0.00068219,             0.00068219,             0.00068219
                     11,                 1.8301,                 2.5776,                 1.9793,                 1.2488,                 0.4235,                0.26056,                0.23805,                 0.1025,                0.41428,                0.26915,                0.23879,                0.10184,                 2.1178,                 3.0197,                  2.329,                 1.5231,             0.00067866,             0.00067866,             0.00067866
                     12,                  1.868,                 2.5628,                 2.0134,                 1.2336,                0.39818,                0.27845,                0.25118,                0.11028,                0.40313,                0.27487,                0.24417,                0.09842,                 2.0795,                 3.0977,                 2.2827,                 1.4321,             0.00067512,             0.00067512,             0.00067512
                     13,                  1.825,                 2.5866,                 1.8989,                 1.2334,                0.40785,                0.26199,                0.23692,                0.09353,                0.42459,                 0.2713,                0.24905,                0.09237,                 2.1326,                 3.0076,                  2.351,                 1.4847,             0.00067159,             0.00067159,             0.00067159
                     14,                 1.8448,                 2.5749,                 1.8494,                  1.235,                0.30791,                0.24553,                0.18445,                0.08115,                 0.3151,                0.24982,                0.18214,                0.07588,                 2.0483,                 3.0974,                 2.5751,                 1.4663,             0.00066805,             0.00066805,             0.00066805
