                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.6462,                 2.2945,                 1.4836,                  1.142,                0.48898,                0.35361,                0.37037,                0.16611,                0.48799,                 0.3529,                0.36293,                0.15436,                 1.9593,                 2.8112,                 1.9903,                 1.3801,             0.00038884,             0.00038884,             0.00038884
                     25,                  1.587,                  2.257,                 1.4332,                 1.1283,                 0.5123,                0.34789,                0.36317,                0.15928,                 0.5247,                0.35086,                0.36421,                0.14996,                 1.9786,                 2.8329,                 1.8769,                 1.4079,             0.00037471,             0.00037471,             0.00037471
                     26,                 1.6262,                 2.2656,                 1.4411,                 1.1247,                0.50637,                0.36274,                0.36963,                0.16129,                0.51212,                0.36006,                0.36563,                0.15295,                 1.9635,                 2.8731,                 1.9151,                 1.3935,             0.00036057,             0.00036057,             0.00036057
                     27,                  1.646,                 2.3049,                 1.4563,                 1.1465,                0.52071,                0.36077,                0.36956,                0.16444,                0.52409,                0.34574,                0.35425,                0.13941,                 1.9663,                 2.8239,                 1.9471,                 1.3883,             0.00034643,             0.00034643,             0.00034643
                     28,                 1.5982,                 2.2371,                 1.4063,                  1.134,                0.54043,                0.36953,                0.38243,                0.16134,                0.52843,                 0.3486,                0.36207,                0.13675,                 1.9899,                 2.8431,                  1.917,                 1.3945,              0.0003323,              0.0003323,              0.0003323
                     29,                 1.5715,                 2.1938,                 1.3657,                 1.1263,                0.49002,                0.38511,                0.38832,                0.16999,                0.50227,                0.37151,                0.37845,                0.15209,                 1.9532,                 2.7974,                  1.807,                 1.3926,             0.00031816,             0.00031816,             0.00031816
                     30,                 1.5881,                 2.1724,                 1.3376,                 1.1211,                0.52938,                0.35934,                0.38369,                0.16913,                0.51346,                0.35934,                0.36724,                0.14198,                 1.9543,                 2.7414,                 1.8642,                  1.372,             0.00030402,             0.00030402,             0.00030402
                     31,                 1.5711,                 2.1972,                 1.3023,                 1.0982,                0.48791,                0.40301,                0.38712,                0.17301,                0.48516,                0.39192,                 0.3732,                0.15322,                 1.9181,                 2.7341,                 1.8231,                 1.3709,             0.00028988,             0.00028988,             0.00028988
                     32,                 1.5328,                 2.1372,                 1.3027,                 1.0983,                0.53603,                0.37867,                0.39196,                0.17458,                0.51365,                0.37573,                0.37553,                0.15022,                 1.9231,                 2.7285,                 1.8055,                 1.3667,             0.00027575,             0.00027575,             0.00027575
                     33,                  1.549,                 2.1811,                 1.3079,                  1.118,                0.51682,                0.39507,                0.40906,                0.18243,                0.51136,                0.39227,                0.39558,                0.15914,                 1.9191,                 2.7218,                 1.7668,                 1.3539,             0.00026161,             0.00026161,             0.00026161
                     34,                 1.5534,                 2.1641,                 1.3051,                 1.1108,                 0.5211,                  0.391,                0.39697,                0.18057,                0.50202,                0.37669,                0.37581,                0.15261,                 1.9218,                 2.7618,                 1.7711,                 1.3655,             0.00024747,             0.00024747,             0.00024747
                     35,                 1.4886,                 2.1591,                 1.2651,                  1.083,                0.52024,                0.40086,                 0.4047,                0.18392,                0.50673,                0.40665,                0.39524,                0.16329,                 1.9107,                 2.7651,                 1.7871,                 1.3581,             0.00023334,             0.00023334,             0.00023334
                     36,                 1.5276,                  2.177,                 1.2761,                  1.107,                0.52779,                0.37223,                0.40315,                0.18124,                0.58561,                0.34073,                0.38112,                0.15363,                  1.918,                 2.7596,                 1.7723,                  1.367,              0.0002192,              0.0002192,              0.0002192
