                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1869,                 3.7829,                 5.9931,                 1.4911,                0.00273,                 0.5204,                0.02524,                0.00726,                0.00279,                0.53185,                0.03643,                  0.011,                 2.0159,                 3.2012,                 4.6467,                 1.3787,             0.00017136,             0.00017136,             0.00017136
                      2,                  2.039,                 2.9286,                 4.5925,                 1.2965,                0.00231,                0.44094,                 0.0102,                0.00474,                0.00231,                0.44094,                0.01064,                0.00492,                 2.0577,                 3.4701,                 4.7776,                 1.5287,             0.00034813,             0.00034813,             0.00034813
                      3,                 2.0196,                 2.9059,                  3.645,                 1.3137,                0.00318,                 0.6063,                0.06769,                0.02862,                0.00288,                0.54832,                0.05706,                0.02264,                 2.0701,                 3.6312,                 4.4516,                 1.4214,             0.00052313,             0.00052313,             0.00052313
                      4,                 2.0449,                  2.925,                 3.2698,                 1.3233,                0.46463,                0.06872,                0.11218,                0.04654,                0.46947,                0.06943,                0.11108,                0.04281,                 2.1555,                 3.5825,                 4.1633,                  1.613,             0.00069636,             0.00069636,             0.00069636
                      5,                 2.0593,                 2.8834,                 2.9969,                 1.3398,                0.33656,                0.14961,                0.12498,                0.04556,                0.35084,                0.14889,                0.12161,                 0.0453,                 2.1751,                 3.2655,                 3.3712,                 1.5607,             0.00069986,             0.00069986,             0.00069986
                      6,                 2.0259,                 2.8215,                 2.7031,                 1.3189,                  0.372,                0.24767,                0.20044,                0.08031,                0.36648,                 0.2355,                0.18621,                0.06856,                 2.1325,                 3.6877,                 2.6526,                   1.47,             0.00069633,             0.00069633,             0.00069633
                      7,                 1.9545,                 2.7439,                 2.4247,                 1.2956,                0.32451,                0.24839,                0.20488,                0.08622,                0.32569,                0.24409,                0.20212,                0.08147,                 2.1475,                 3.2464,                 2.7317,                 1.5045,             0.00069279,             0.00069279,             0.00069279
                      8,                 1.8954,                 2.6476,                 2.2438,                 1.2679,                0.34591,                 0.2398,                0.19694,                 0.0832,                0.34906,                0.22548,                0.19351,                0.07468,                 2.1302,                 3.2982,                 2.5045,                 1.5282,             0.00068926,             0.00068926,             0.00068926
                      9,                 1.9294,                 2.7022,                 2.1528,                 1.2787,                0.35296,                0.23264,                0.19488,                0.08004,                0.34102,                 0.2262,                0.18105,                0.07068,                 2.1985,                 3.2859,                 2.5551,                 1.5837,             0.00068573,             0.00068573,             0.00068573
                     10,                 1.9105,                 2.6467,                 2.0717,                 1.2704,                0.46331,                 0.2849,                0.29452,                 0.1245,                0.46098,                0.28346,                0.29152,                0.10827,                 2.0704,                 2.9935,                 2.1495,                 1.5383,             0.00068219,             0.00068219,             0.00068219
                     11,                 1.8569,                 2.5883,                 1.9864,                 1.2488,                0.42136,                 0.2476,                0.24802,                0.10791,                0.42603,                0.24911,                0.24399,                 0.1007,                 2.1139,                 3.1328,                 2.2952,                 1.5151,             0.00067866,             0.00067866,             0.00067866
                     12,                  1.845,                  2.551,                 1.9295,                 1.2411,                0.39603,                0.24123,                0.22151,                0.09302,                0.40455,                0.24409,                 0.2182,                0.08029,                 2.1231,                 2.9455,                  2.349,                 1.4647,             0.00067512,             0.00067512,             0.00067512
