                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0306,                 3.0275,                 2.8063,                 1.3851,                0.00086,                0.16464,                 0.0005,                0.00023,                0.00081,                 0.1539,                0.00047,                0.00018,                 2.7574,                 88.398,                    inf,                 4.7003,             0.00023557,             0.00023557,             0.00023557
                      2,                 1.9913,                 2.7658,                 1.9658,                 1.3671,                0.06566,                 0.2849,                0.03286,                0.01215,                0.06051,                0.27201,                0.02729,                 0.0091,                 2.3509,                 4.0291,                 36.567,                 2.0187,             0.00046419,             0.00046419,             0.00046419
                      3,                 1.9631,                 2.8021,                 1.8373,                 1.3549,                0.17934,                0.10809,                0.05578,                 0.0187,                0.15567,                0.09234,                0.04027,                 0.0116,                  2.667,                 4.0717,                 9.4156,                  2.187,             0.00068339,             0.00068339,             0.00068339
                      4,                 1.9954,                 2.7766,                 1.8682,                 1.3852,                0.25956,                0.17866,                0.12322,                0.04399,                0.24622,                0.16679,                0.10999,                0.03515,                 2.5046,                 3.6741,                 3.6029,                 2.0078,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.8993,                 2.5927,                 1.7438,                 1.3287,                0.27331,                0.22119,                0.15429,                0.05772,                0.25005,                0.20974,                0.13541,                0.04583,                 2.3307,                 3.4802,                 5.2537,                 1.8994,             0.00065745,             0.00065745,             0.00065745
                      6,                 1.8061,                 2.4949,                 1.6182,                 1.3036,                0.20565,                 0.2126,                0.09196,                0.03705,                0.21186,                0.21761,                0.09262,                0.03597,                 2.3973,                 3.2916,                 4.3826,                 1.9318,             0.00064331,             0.00064331,             0.00064331
                      7,                 1.7453,                 2.5299,                 1.5208,                 1.2523,                0.38592,                0.24052,                 0.2208,                0.08611,                0.38117,                0.22835,                0.20086,                0.06897,                 2.3569,                 3.3037,                 2.5147,                 1.8784,             0.00062918,             0.00062918,             0.00062918
                      8,                 1.6908,                 2.3952,                 1.4479,                 1.2603,                0.33888,                0.24911,                0.20016,                0.08003,                0.34429,                0.23407,                0.18242,                 0.0655,                 2.3089,                 3.2827,                   3.38,                 1.7974,             0.00061504,             0.00061504,             0.00061504
                      9,                 1.6761,                 2.3555,                  1.419,                 1.2577,                0.37838,                 0.2636,                0.22581,                 0.0914,                0.35443,                0.26342,                0.21004,                0.07386,                 2.2473,                 3.1067,                 3.6657,                 1.8262,              0.0006009,              0.0006009,              0.0006009
                     10,                 1.6325,                 2.3258,                 1.3753,                 1.2318,                0.42169,                0.30565,                0.28117,                0.12434,                0.43058,                 0.3121,                0.28841,                0.11722,                 2.1225,                 2.9217,                 2.4513,                 1.7439,             0.00058677,             0.00058677,             0.00058677
                     11,                 1.5346,                 2.1885,                 1.2978,                 1.2005,                0.40869,                0.31353,                0.27092,                0.11325,                0.41068,                 0.2988,                0.25792,                  0.093,                 2.1412,                 2.9802,                 3.3609,                 1.7251,             0.00057263,             0.00057263,             0.00057263
                     12,                 1.5311,                  2.186,                 1.2679,                 1.1921,                0.33977,                0.28439,                0.21988,                0.09215,                0.32112,                 0.2849,                0.20569,                0.07585,                 2.2042,                 3.0269,                 3.9936,                 1.7544,             0.00055849,             0.00055849,             0.00055849
                     13,                 1.4284,                 2.1269,                 1.1841,                 1.1571,                0.41531,                0.26986,                0.24114,                0.10565,                0.41028,                0.28132,                0.23886,                0.09275,                 2.1557,                 3.1949,                 2.7122,                 1.7185,             0.00054435,             0.00054435,             0.00054435
                     14,                  1.465,                 2.1702,                 1.1768,                 1.1487,                 0.3917,                0.28132,                0.25119,                0.10931,                0.39337,                0.28633,                0.24531,                0.09515,                 2.1077,                  3.021,                 2.4694,                 1.7287,             0.00053022,             0.00053022,             0.00053022
                     15,                 1.4319,                 2.0785,                 1.1709,                 1.1717,                0.44296,                0.27845,                0.26846,                0.11918,                 0.4532,                0.27344,                0.26664,                0.10057,                 2.1429,                  3.012,                 2.4316,                 1.7637,             0.00051608,             0.00051608,             0.00051608
                     16,                 1.4059,                  2.084,                  1.136,                 1.1587,                0.45948,                 0.3257,                0.30577,                0.13014,                0.46838,                0.30461,                0.28803,                0.11427,                 2.1636,                 3.0032,                 2.2273,                 1.7385,             0.00050194,             0.00050194,             0.00050194
                     17,                 1.3477,                  2.003,                 1.0985,                 1.1269,                0.46744,                0.30494,                0.29969,                0.13463,                0.45147,                0.29778,                0.28085,                0.11576,                 2.0516,                 2.8808,                 2.4521,                  1.705,              0.0004878,              0.0004878,              0.0004878
                     18,                 1.3594,                 1.9865,                  1.073,                 1.1349,                0.50777,                0.31353,                0.32538,                0.13838,                0.46825,                0.30637,                0.30712,                0.11942,                 2.0682,                 2.8475,                 2.0412,                 1.6743,             0.00047367,             0.00047367,             0.00047367
                     19,                 1.3571,                 1.9752,                 1.0612,                 1.1173,                0.48055,                0.32498,                0.31909,                0.13724,                0.46526,                0.32069,                0.29598,                0.11337,                 2.0294,                 2.8712,                 2.1053,                 1.6712,             0.00045953,             0.00045953,             0.00045953
                     20,                 1.3024,                 1.9619,                 1.0372,                 1.1031,                0.45583,                0.32355,                0.31176,                 0.1372,                0.44627,                0.31496,                0.30638,                 0.1202,                 2.0698,                 2.9383,                 2.2634,                 1.6805,             0.00044539,             0.00044539,             0.00044539
