                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.5876,                 2.2451,                 1.4614,                 1.1314,                0.49322,                0.35719,                0.36396,                0.16099,                0.49648,                0.34373,                0.35375,                0.14564,                 1.9939,                 2.7936,                 1.9346,                 1.4333,             0.00038884,             0.00038884,             0.00038884
                     25,                  1.567,                 2.2309,                 1.4057,                 1.1265,                0.50415,                0.36578,                0.36736,                 0.1631,                0.50731,                0.35791,                0.36181,                0.15359,                 1.9618,                 2.7652,                 1.9259,                 1.4404,             0.00037471,             0.00037471,             0.00037471
                     26,                 1.6084,                 2.2156,                 1.4094,                 1.1282,                0.48379,                0.37581,                0.37786,                0.17215,                0.50484,                0.35648,                 0.3736,                0.15576,                 1.9251,                 2.7596,                 1.8422,                 1.3924,             0.00036057,             0.00036057,             0.00036057
                     27,                 1.6092,                 2.2732,                 1.4163,                 1.1382,                0.45687,                0.36068,                0.36242,                0.15869,                0.49648,                0.33032,                0.35248,                0.13452,                 1.9748,                 2.7833,                 1.9058,                 1.3811,             0.00034643,             0.00034643,             0.00034643
                     28,                 1.5715,                 2.1795,                  1.386,                  1.115,                0.54151,                0.37199,                0.38934,                0.17546,                0.54239,                0.35576,                0.37904,                0.15432,                 1.9486,                  2.777,                 1.8606,                 1.3778,              0.0003323,              0.0003323,              0.0003323
                     29,                 1.5161,                 2.1486,                 1.3328,                 1.0995,                0.51633,                0.37366,                0.38578,                0.17033,                0.48846,                0.38346,                0.37449,                 0.1509,                 1.9438,                 2.8995,                 1.9112,                 1.3675,             0.00031816,             0.00031816,             0.00031816
                     30,                 1.5547,                 2.1495,                 1.3309,                 1.1052,                0.47619,                0.38368,                0.37869,                0.16925,                0.45992,                0.36865,                0.36243,                0.14492,                 1.9687,                 2.7504,                 1.9387,                 1.3838,             0.00030402,             0.00030402,             0.00030402
                     31,                  1.524,                 2.1424,                 1.2705,                 1.0986,                0.48745,                0.37795,                0.37983,                 0.1782,                0.49765,                0.35719,                0.36431,                0.15352,                 1.9331,                 2.7288,                 1.9091,                 1.3747,             0.00028988,             0.00028988,             0.00028988
                     32,                 1.4967,                 2.0947,                  1.271,                 1.0855,                0.51103,                0.38583,                 0.4074,                0.18729,                0.55758,                0.35719,                0.39591,                0.16672,                 1.8883,                 2.6912,                 1.8038,                 1.3838,             0.00027575,             0.00027575,             0.00027575
                     33,                 1.5176,                 2.1549,                 1.2865,                 1.1179,                0.50024,                0.40372,                0.40738,                0.18549,                0.48851,                0.39995,                0.38511,                0.15374,                 1.9133,                 2.7289,                 1.7829,                  1.336,             0.00026161,             0.00026161,             0.00026161
                     34,                 1.5031,                 2.1284,                 1.2762,                 1.0871,                0.52505,                0.36077,                0.39176,                0.18152,                0.51935,                0.35811,                0.38366,                 0.1643,                 1.9213,                 2.7255,                 1.8924,                 1.3871,             0.00024747,             0.00024747,             0.00024747
                     35,                 1.4709,                 2.1677,                 1.2248,                 1.0807,                0.54473,                 0.3622,                0.39697,                0.18176,                0.56061,                0.36507,                0.39349,                0.16736,                 1.9197,                 2.7522,                 1.8054,                 1.3817,             0.00023334,             0.00023334,             0.00023334
