                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.068,                 3.1946,                 3.6987,                 1.3936,                0.04855,                0.16464,                0.02007,                0.00686,                0.04665,                 0.1582,                0.01816,                0.00603,                 2.5728,                 4.0693,                 3.6292,                 2.2229,             0.00023434,             0.00023434,             0.00023434
                      2,                 2.0083,                 2.8312,                 2.1108,                 1.3414,                0.27178,                0.18397,                0.13077,                 0.0488,                0.24598,                0.16464,                 0.0999,                0.03293,                 2.5017,                 7.7147,                 6.6234,                 2.7712,             0.00046299,             0.00046299,             0.00046299
                      3,                 2.1438,                 2.9755,                 2.2052,                 1.4153,                0.14911,                0.12384,                0.05379,                0.01798,                0.16647,                 0.0995,                 0.0455,                0.01293,                 2.7678,                 4.6205,                 9.8749,                 2.8182,             0.00068221,             0.00068221,             0.00068221
                      4,                 2.1362,                   2.93,                 2.0995,                 1.4269,                0.10072,                0.09807,                0.03061,                0.01056,                0.08888,                0.08733,                0.02659,                0.00839,                 2.6961,                 5.0283,                 8.8293,                 2.4965,             0.00067159,             0.00067159,             0.00067159
                      5,                 2.0615,                  2.882,                 1.9876,                 1.3976,                0.21033,                0.17752,                0.10623,                0.03644,                0.19223,                0.16464,                0.09192,                0.02655,                 2.5872,                 3.6116,                 13.918,                 1.9772,             0.00065745,             0.00065745,             0.00065745
                      6,                 1.9639,                  2.768,                 1.8497,                 1.3444,                 0.3147,                0.23193,                0.18092,                0.07136,                0.31976,                0.22405,                0.17291,                0.06347,                 2.3756,                 3.2734,                 2.7897,                 1.7878,             0.00064331,             0.00064331,             0.00064331
                      7,                 1.8355,                 2.5815,                 1.6881,                 1.2981,                0.33166,                0.24481,                 0.1916,                0.07613,                0.33737,                0.23622,                0.18571,                0.06777,                 2.2999,                 3.3151,                 2.5671,                 1.8112,             0.00062918,             0.00062918,             0.00062918
                      8,                  1.826,                 2.5623,                 1.6632,                 1.2912,                0.31326,                0.21188,                0.16014,                0.06299,                0.32005,                0.20401,                0.15034,                0.05624,                 2.3577,                 3.4288,                 2.6354,                  1.857,             0.00061504,             0.00061504,             0.00061504
                      9,                 1.7213,                 2.5019,                 1.4843,                 1.2524,                 0.1411,                0.18325,                0.03978,                0.01626,                0.13669,                0.17752,                0.03695,                 0.0136,                 2.4619,                 12.653,                 9.5615,                 2.0226,              0.0006009,              0.0006009,              0.0006009
                     10,                 1.7461,                  2.483,                 1.5098,                  1.262,                0.38467,                0.27058,                0.22674,                0.08744,                0.37687,                0.26772,                0.21356,                0.08128,                 2.2825,                 3.1629,                 2.3665,                  1.746,             0.00058677,             0.00058677,             0.00058677
                     11,                 1.6755,                 2.3528,                 1.4169,                 1.2235,                0.29174,                0.21976,                0.15313,                0.06491,                0.28375,                0.21045,                0.14307,                0.05318,                 2.1723,                 3.2372,                 2.6708,                 1.6901,             0.00057263,             0.00057263,             0.00057263
                     12,                 1.6394,                 2.3224,                 1.4026,                 1.1957,                0.31628,                0.27845,                0.19265,                0.07588,                0.30734,                0.27058,                0.17653,                0.06046,                 2.2636,                 3.2409,                 2.4522,                 1.7292,             0.00055849,             0.00055849,             0.00055849
                     13,                 1.5646,                 2.2385,                 1.3203,                 1.1521,                0.39042,                0.24624,                 0.2273,                0.09862,                0.37063,                0.23264,                 0.2153,                0.08596,                 2.2359,                 3.1838,                 2.4113,                 1.7527,             0.00054435,             0.00054435,             0.00054435
                     14,                 1.5847,                  2.288,                 1.3008,                 1.1718,                0.39619,                 0.3121,                0.27584,                0.12058,                 0.4045,                0.30208,                0.26196,                0.09991,                 2.1278,                 3.0347,                 2.1831,                  1.646,             0.00053022,             0.00053022,             0.00053022
                     15,                 1.5282,                 2.2238,                 1.2688,                 1.1673,                0.39818,                 0.2806,                0.25866,                0.10385,                0.39629,                0.28475,                0.25286,                0.08999,                 2.2354,                 3.0862,                 2.2571,                 1.7385,             0.00051608,             0.00051608,             0.00051608
                     16,                 1.5136,                 2.1993,                 1.2432,                 1.1712,                0.43386,                0.31496,                0.29492,                0.13056,                0.43704,                0.30279,                0.27341,                0.10896,                 2.0859,                 2.9837,                 2.0691,                 1.6694,             0.00050194,             0.00050194,             0.00050194
                     17,                 1.4975,                 2.1654,                 1.2158,                 1.1175,                 0.4541,                0.29134,                0.28187,                0.12488,                0.46233,                0.29134,                0.28027,                0.10999,                  2.112,                 3.0558,                 2.1423,                 1.6148,              0.0004878,              0.0004878,              0.0004878
                     18,                 1.4583,                 2.1154,                 1.2061,                 1.1323,                0.45949,                0.33644,                0.32078,                0.13513,                0.46077,                0.31353,                  0.298,                0.12233,                 2.0863,                 3.0356,                 2.0269,                 1.6322,             0.00047367,             0.00047367,             0.00047367
                     19,                 1.4194,                 2.0854,                 1.1486,                 1.1235,                0.45055,                0.30637,                 0.2989,                0.12815,                0.44335,                0.31997,                0.29291,                0.11587,                 2.1206,                 3.0713,                 2.0317,                 1.6698,             0.00045953,             0.00045953,             0.00045953
                     20,                 1.4137,                 2.0136,                 1.0949,                 1.0909,                0.46012,                0.32355,                0.31451,                0.13844,                0.44853,                0.31264,                0.28127,                0.11229,                 2.0531,                  2.954,                 2.1092,                 1.6167,             0.00044539,             0.00044539,             0.00044539
                     21,                 1.4053,                  2.045,                 1.1068,                 1.1115,                0.42449,                 0.3226,                 0.2966,                0.12901,                0.41889,                0.31711,                0.28122,                0.10492,                 2.0951,                 3.0714,                 2.0085,                 1.5804,             0.00043126,             0.00043126,             0.00043126
                     22,                 1.3862,                 1.9888,                 1.0727,                 1.1052,                0.39932,                0.34167,                0.31702,                0.13902,                0.47865,                0.30637,                0.30341,                0.11597,                 2.0662,                 2.8775,                 2.0044,                 1.5917,             0.00041712,             0.00041712,             0.00041712
                     23,                 1.3561,                 2.0056,                 1.0657,                 1.0892,                0.51584,                0.29778,                0.31489,                0.14204,                0.51749,                0.30324,                0.31155,                0.13003,                 2.0653,                 2.9136,                 2.0433,                 1.6308,             0.00040298,             0.00040298,             0.00040298
