                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1708,                 1.7597,                0.90506,                 1.0464,                0.47967,                0.35361,                0.34953,                0.15376,                0.47942,                0.35218,                0.33927,                0.13868,                  2.054,                 2.7364,                  1.981,                 1.6068,             0.00038884,             0.00038884,             0.00038884
                     25,                 1.1728,                 1.8289,                0.93747,                 1.0728,                0.49995,                0.36149,                0.36571,                0.16632,                0.48423,                0.35075,                0.34211,                0.14124,                 1.9845,                 2.7239,                   2.02,                 1.5811,             0.00037471,             0.00037471,             0.00037471
                     26,                 1.1221,                 1.6651,                0.88434,                 1.0306,                0.44853,                0.37366,                0.34393,                0.14954,                0.46912,                0.36865,                0.32982,                0.13244,                  1.981,                 2.7444,                  2.059,                 1.5653,             0.00036057,             0.00036057,             0.00036057
                     27,                 1.1436,                 1.7511,                0.90666,                 1.0512,                0.51764,                0.37437,                0.38343,                0.16799,                0.50861,                0.36435,                  0.355,                0.14352,                 1.9539,                 2.7121,                  2.206,                  1.548,             0.00034643,             0.00034643,             0.00034643
                     28,                 1.0996,                 1.6764,                 0.8585,                 1.0167,                0.51095,                 0.3486,                0.36456,                0.15952,                0.50576,                0.34209,                0.33985,                0.13881,                 2.0113,                 2.7455,                 1.8874,                 1.5949,              0.0003323,              0.0003323,              0.0003323
                     29,                 1.0891,                 1.6758,                0.85605,                 1.0235,                0.50727,                0.36507,                0.36842,                0.16229,                0.50781,                0.35524,                0.35342,                0.13978,                 2.0019,                 2.7479,                 2.1586,                 1.5824,             0.00031816,             0.00031816,             0.00031816
                     30,                 1.0776,                 1.6571,                0.85883,                 1.0244,                0.47429,                0.39155,                0.38829,                0.17402,                0.50539,                0.37079,                0.37795,                0.15131,                 1.9608,                   2.69,                 2.1945,                  1.556,             0.00030402,             0.00030402,             0.00030402
                     31,                 1.1107,                  1.676,                0.87882,                 1.0466,                0.51134,                0.36292,                0.36382,                0.16087,                0.50428,                0.35791,                0.34858,                 0.1337,                 1.9527,                 2.7587,                 2.1457,                 1.5362,             0.00028988,             0.00028988,             0.00028988
                     32,                  1.068,                 1.6251,                0.83345,                 1.0219,                0.50888,                0.40349,                0.39719,                0.18178,                0.51931,                0.38821,                0.38097,                 0.1611,                 1.9462,                  2.658,                 2.0497,                 1.5211,             0.00027575,             0.00027575,             0.00027575
                     33,                 1.0143,                 1.5238,                0.78407,                 1.0147,                0.52416,                0.38153,                0.39502,                0.17984,                0.52326,                0.36793,                0.37081,                0.15901,                 1.9594,                 2.6884,                 1.8562,                 1.5684,             0.00026161,             0.00026161,             0.00026161
                     34,                 1.0615,                 1.6093,                0.83351,                  1.036,                0.53961,                0.38654,                 0.4095,                0.18508,                0.56026,                0.36793,                0.38862,                0.16388,                  1.933,                 2.6755,                 1.7952,                 1.5435,             0.00024747,             0.00024747,             0.00024747
                     35,                 1.0043,                 1.5272,                 0.7827,                0.99622,                0.51884,                0.39728,                0.40827,                0.18497,                0.50313,                0.38852,                0.38515,                0.15968,                 1.9382,                 2.6169,                 1.9379,                 1.5359,             0.00023334,             0.00023334,             0.00023334
                     36,                 1.0103,                 1.5821,                0.79677,                 1.0166,                0.52608,                0.41016,                0.40523,                0.18585,                0.51686,                0.39585,                0.38238,                0.15598,                 1.8954,                 2.6598,                 1.9032,                 1.5267,              0.0002192,              0.0002192,              0.0002192
                     37,                0.99594,                   1.55,                0.77053,                 1.0078,                0.51204,                0.43717,                0.42005,                0.19479,                0.52491,                0.41679,                  0.406,                0.17438,                 1.8833,                 2.6466,                 1.8524,                 1.5222,             0.00020506,             0.00020506,             0.00020506
                     38,                0.97193,                 1.5324,                0.75547,                  1.007,                0.52597,                0.40945,                0.41328,                0.19225,                0.53195,                0.39295,                0.39654,                0.16906,                 1.9273,                 2.6329,                 1.9888,                 1.5329,             0.00019092,             0.00019092,             0.00019092
                     39,                   0.96,                 1.4681,                 0.7466,                0.99216,                0.53761,                0.41231,                0.42169,                0.19215,                0.54021,                0.38941,                0.40243,                0.16451,                 1.9101,                 2.6275,                 2.0827,                 1.5266,             0.00017679,             0.00017679,             0.00017679
                     40,                0.93284,                 1.4674,                0.72774,                0.98496,                0.48709,                0.42663,                0.41703,                0.19796,                 0.5157,                0.41231,                0.40898,                0.17378,                 1.8969,                 2.6174,                 1.9694,                 1.5182,             0.00016265,             0.00016265,             0.00016265
                     41,                 1.6819,                 2.4602,                 1.4806,                 1.4131,                0.51251,                0.42218,                0.43193,                0.20183,                0.52714,                0.41231,                0.42112,                0.17852,                 1.8804,                 2.5589,                 2.0391,                 1.5228,             0.00014851,             0.00014851,             0.00014851
                     42,                 1.6712,                 2.3716,                 1.4417,                   1.41,                0.53985,                0.43164,                 0.4455,                0.21082,                0.56117,                0.40659,                0.43176,                0.18702,                  1.888,                 2.5535,                 1.9127,                 1.5073,             0.00013437,             0.00013437,             0.00013437
                     43,                 1.6441,                 2.3525,                 1.3866,                 1.3982,                 0.5176,                 0.4388,                0.44655,                0.21118,                0.50933,                0.43379,                0.43509,                0.19389,                 1.8754,                 2.6287,                 1.7422,                 1.5238,             0.00012024,             0.00012024,             0.00012024
                     44,                  1.593,                 2.2826,                 1.3652,                 1.3761,                0.49422,                0.44667,                0.44111,                0.21339,                0.53688,                0.39656,                0.42343,                0.18192,                 1.8507,                 2.5785,                 1.6584,                 1.4854,              0.0001061,              0.0001061,              0.0001061
                     45,                 1.5605,                 2.2548,                 1.3208,                 1.3458,                0.55455,                0.44238,                0.45923,                0.21483,                0.57602,                0.42949,                0.44496,                0.18757,                 1.8813,                 2.6123,                 1.6477,                 1.5158,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                 1.5532,                 2.1878,                 1.2645,                 1.3314,                0.52933,                0.46385,                 0.4573,                0.21654,                0.52754,                0.45455,                0.45225,                0.19349,                 1.8726,                 2.6129,                 1.7522,                  1.519,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                 1.5313,                 2.1749,                 1.2533,                  1.314,                0.54963,                0.45455,                0.46421,                0.21797,                0.55358,                0.43939,                0.44873,                0.19199,                 1.8904,                 2.6212,                 1.8228,                  1.534,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                 1.5076,                 2.1904,                 1.2164,                  1.306,                0.56366,                0.45455,                0.47134,                0.21871,                0.55869,                0.44023,                0.45164,                 0.1901,                 1.8533,                 2.6183,                 1.7035,                 1.5103,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                 1.4993,                 2.1323,                 1.2033,                 1.3046,                0.54371,                0.45455,                0.47341,                0.22218,                0.58126,                 0.4209,                0.45633,                0.19381,                 1.8533,                 2.6135,                  1.655,                 1.5141,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                 1.4879,                 2.1266,                 1.1735,                 1.3083,                0.53966,                0.45884,                0.46884,                0.22223,                0.57475,                 0.4388,                0.46149,                0.19798,                 1.8562,                 2.6231,                 1.6775,                 1.5207,             2.1277e-05,             2.1277e-05,             2.1277e-05
