                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2107,                 3.5713,                 8.4893,                 1.5333,                0.00752,                0.37652,                0.00562,                0.00228,                0.00722,                0.35147,                0.00496,                0.00191,                 2.1807,                  3.733,                    inf,                  1.673,             0.00022848,             0.00022848,             0.00022848
                      2,                 2.0726,                 2.9668,                 2.6015,                 1.3434,                0.03626,                0.19613,                0.01703,                0.00639,                0.03471,                0.18468,                0.01453,                0.00511,                 2.3635,                 3.9836,                 5.4843,                  1.837,             0.00045491,             0.00045491,             0.00045491
                      3,                 2.1227,                 2.9827,                 2.2649,                 1.4032,                0.21027,                0.11596,                0.07498,                0.03094,                0.17601,                 0.1078,                0.06242,                0.02416,                 2.9736,                 11.165,                 3.8447,                 2.7426,             0.00067201,             0.00067201,             0.00067201
                      4,                 2.0963,                 2.9375,                 2.2136,                 1.4279,                0.25504,                0.21188,                0.15004,                0.05918,                0.26262,                0.22548,                0.15107,                0.05793,                 2.3252,                 4.1867,                 7.2188,                 1.8075,             0.00067159,             0.00067159,             0.00067159
                      5,                 2.0852,                 2.9546,                  2.083,                 1.3717,                0.30854,                0.21241,                0.14684,                0.06132,                0.31654,                0.19041,                0.13687,                0.05325,                 2.3595,                 3.7107,                 3.5155,                 1.8403,             0.00065745,             0.00065745,             0.00065745
                      6,                 2.0314,                 2.8772,                 2.0317,                 1.3777,                0.31927,                0.19685,                0.14218,                0.05287,                 0.3247,                0.20616,                0.14816,                0.05318,                 2.3626,                 3.4663,                 3.0912,                 1.7355,             0.00064331,             0.00064331,             0.00064331
                      7,                 1.9478,                 2.7908,                 1.9396,                 1.3444,                0.30673,                0.29062,                 0.2026,                0.07969,                 0.2963,                0.26342,                 0.1797,                0.06052,                 2.2718,                 3.7365,                 2.4741,                 1.6267,             0.00062918,             0.00062918,             0.00062918
                      8,                 1.9394,                  2.732,                 1.9013,                 1.3649,                0.35858,                0.28561,                 0.2277,                0.09698,                0.37979,                0.26342,                0.21478,                0.08148,                 2.1864,                  3.281,                 2.3298,                 1.5951,             0.00061504,             0.00061504,             0.00061504
                      9,                 1.8812,                 2.6261,                 1.7378,                 1.2822,                0.39146,                 0.2577,                0.23006,                0.09879,                0.44164,                0.24742,                0.22975,                0.09094,                 2.2124,                  3.572,                 2.4962,                 1.6869,              0.0006009,              0.0006009,              0.0006009
                     10,                 1.8571,                 2.6675,                 1.6962,                 1.2861,                0.41054,                0.32212,                0.30469,                0.13045,                0.39734,                0.30422,                0.27456,                 0.1072,                 2.0844,                 3.1774,                 2.0202,                 1.5631,             0.00058677,             0.00058677,             0.00058677
