                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0318,                 2.9534,                  2.826,                  1.398,                0.26576,                0.17895,                0.12215,                 0.0474,                0.30075,                0.15963,                0.11966,                  0.039,                 2.4214,                 4.1948,                 8.8888,                 2.0408,             0.00023678,             0.00023678,             0.00023678
                      2,                 2.0419,                 2.8742,                  2.032,                 1.4108,                0.01702,                0.17037,                0.00699,                0.00227,                0.01622,                0.15247,                0.00565,                0.00171,                 2.6303,                 3.8279,                 240.38,                 2.2325,             0.00046538,             0.00046538,             0.00046538
                      3,                 2.0487,                 2.7943,                 1.9547,                 1.4185,                0.13081,                0.14674,                0.05788,                0.02022,                0.11279,                0.13028,                0.05177,                0.01472,                 2.5098,                 3.9565,                 5.4652,                 1.9358,             0.00068455,             0.00068455,             0.00068455
                      4,                 1.9744,                 2.7826,                 1.8879,                  1.417,                0.30344,                0.18826,                0.13583,                0.05335,                0.30459,                0.18898,                0.13622,                0.04934,                  2.263,                 3.2236,                 4.8921,                 1.8538,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.8136,                 2.6418,                 1.6635,                 1.3456,                0.31139,                0.21045,                0.15574,                0.05983,                0.32429,                0.21832,                0.16314,                0.05317,                 2.2553,                 3.2065,                 3.7884,                 1.8161,             0.00065745,             0.00065745,             0.00065745
                      6,                 1.7535,                 2.5114,                 1.5572,                 1.3115,                0.36457,                0.21643,                0.17233,                0.06796,                 0.3674,                0.22119,                0.17887,                0.06426,                 2.2692,                 3.0467,                 2.9417,                 1.7915,             0.00064331,             0.00064331,             0.00064331
                      7,                 1.6392,                 2.4167,                 1.4486,                 1.2778,                0.34614,                0.19327,                0.16997,                0.06896,                0.35143,                0.19041,                0.16409,                0.06347,                 2.2632,                 3.2799,                   5.32,                 1.8244,             0.00062918,             0.00062918,             0.00062918
                      8,                 1.6151,                 2.4121,                 1.4078,                  1.267,                0.36339,                 0.2329,                0.18687,                0.07759,                0.36639,                0.21761,                0.18538,                0.07121,                 2.1969,                 3.0247,                 3.0048,                 1.7608,             0.00061504,             0.00061504,             0.00061504
                      9,                 1.5642,                 2.3387,                 1.3689,                 1.2512,                0.35683,                0.25841,                0.21847,                0.08728,                0.36016,                0.25412,                0.21755,                0.08069,                 2.1722,                 2.9931,                 2.5489,                 1.7667,              0.0006009,              0.0006009,              0.0006009
                     10,                 1.5442,                 2.3198,                  1.366,                 1.2659,                0.42101,                0.24409,                0.22528,                0.09149,                0.42101,                0.24409,                0.22078,                0.07772,                 2.1169,                 2.9824,                 2.8264,                 1.7329,             0.00058677,             0.00058677,             0.00058677
                     11,                 1.4902,                 2.1941,                 1.2681,                 1.2221,                 0.3847,                0.24911,                0.22046,                0.09618,                0.41253,                0.24624,                0.22002,                0.08572,                 2.0917,                 2.9356,                 2.7289,                 1.6905,             0.00057263,             0.00057263,             0.00057263
                     12,                 1.4356,                 2.1069,                 1.2385,                 1.1997,                0.25337,                0.23336,                0.12455,                0.04993,                0.25026,                0.23049,                 0.1194,                0.04199,                 2.1209,                 3.0166,                 4.4913,                 1.7184,             0.00055849,             0.00055849,             0.00055849
                     13,                  1.456,                 2.2011,                 1.2548,                 1.2066,                0.38407,                0.27845,                0.22393,                0.08936,                0.37839,                0.26915,                0.21172,                0.07327,                 2.0742,                 3.0415,                 2.7198,                 1.6564,             0.00054435,             0.00054435,             0.00054435
                     14,                 1.4036,                 2.1365,                 1.1784,                 1.1812,                0.38393,                0.27631,                0.23935,                0.10266,                0.38602,                0.26485,                0.23124,                0.08934,                 2.0067,                 2.8716,                 3.1899,                 1.6795,             0.00053022,             0.00053022,             0.00053022
                     15,                 1.3868,                 2.0561,                 1.2008,                 1.2188,                0.43696,                 0.2942,                0.28454,                0.12308,                0.42992,                0.29492,                0.27947,                 0.1083,                 2.0148,                 2.8269,                 2.7904,                 1.6262,             0.00051608,             0.00051608,             0.00051608
                     16,                 1.3547,                  2.061,                 1.1537,                 1.1825,                 0.4304,                0.27201,                0.25791,                0.10379,                0.44866,                0.27727,                0.25939,                0.09771,                 2.0348,                 2.8368,                  2.584,                 1.6378,             0.00050194,             0.00050194,             0.00050194
                     17,                 1.2708,                 1.9475,                 1.0672,                 1.1331,                0.41458,                0.25626,                0.24106,                0.10435,                0.40921,                0.26127,                0.23316,                0.09299,                 2.0045,                  2.931,                 2.4966,                 1.6536,              0.0004878,              0.0004878,              0.0004878
                     18,                  1.303,                 1.9458,                 1.0799,                 1.1585,                0.45852,                 0.3214,                0.28413,                 0.1201,                0.46239,                0.31138,                0.27926,                0.10655,                 1.9874,                  2.779,                 2.6742,                 1.6356,             0.00047367,             0.00047367,             0.00047367
                     19,                 1.2562,                 1.9563,                 1.0378,                 1.1347,                0.46158,                0.31711,                0.29849,                0.12405,                0.47968,                0.31926,                0.30278,                0.10745,                 1.9966,                 2.8167,                 2.3178,                 1.6192,             0.00045953,             0.00045953,             0.00045953
                     20,                 1.2508,                 1.8729,                 1.0308,                 1.1202,                  0.446,                0.33357,                0.30887,                 0.1332,                0.47203,                0.33471,                0.31782,                0.12044,                 1.9344,                 2.7122,                  3.449,                  1.602,             0.00044539,             0.00044539,             0.00044539
                     21,                 1.2344,                   1.96,                 1.0503,                 1.1373,                0.47474,                0.31854,                0.31152,                0.13094,                0.46834,                0.31424,                0.30477,                 0.1221,                 1.9521,                 2.7263,                 2.7084,                 1.6284,             0.00043126,             0.00043126,             0.00043126
                     22,                  1.248,                 1.8755,                  1.018,                 1.1381,                0.43307,                0.32808,                0.29778,                0.12679,                 0.4337,                0.32856,                0.29769,                0.11559,                 1.9715,                 2.6735,                 2.3153,                 1.6192,             0.00041712,             0.00041712,             0.00041712
                     23,                  1.154,                 1.8234,                0.95563,                  1.114,                0.46946,                0.29074,                  0.291,                0.12685,                0.47806,                0.29062,                0.28511,                0.11213,                 1.9415,                 2.6784,                 2.2342,                 1.5884,             0.00040298,             0.00040298,             0.00040298
                     24,                 1.1899,                 1.8175,                0.98639,                 1.1163,                0.44901,                0.34001,                0.32779,                0.14279,                0.49094,                0.31854,                0.33004,                0.12963,                  1.885,                 2.6904,                 2.4596,                 1.5727,             0.00038884,             0.00038884,             0.00038884
                     25,                 1.1692,                  1.849,                0.98113,                 1.1212,                0.48608,                0.33644,                0.33486,                0.14827,                0.49298,                0.33199,                0.32956,                0.13194,                 1.9066,                 2.7037,                 2.4838,                 1.6012,             0.00037471,             0.00037471,             0.00037471
                     26,                 1.1286,                 1.7765,                0.95719,                 1.1043,                0.46142,                 0.3393,                0.32457,                0.14331,                0.46066,                0.32526,                0.32163,                0.12815,                 1.9387,                 2.6485,                 2.3435,                 1.5863,             0.00036057,             0.00036057,             0.00036057
                     27,                 1.1365,                 1.7615,                0.95832,                 1.1181,                0.46849,                0.34503,                0.32948,                0.14954,                0.47919,                0.35104,                0.33347,                0.13364,                 1.9071,                 2.6344,                 2.1534,                 1.5841,             0.00034643,             0.00034643,             0.00034643
                     28,                 1.1284,                 1.7551,                0.95146,                 1.1007,                0.45864,                 0.3529,                0.33889,                0.14806,                 0.4695,                0.34336,                 0.3348,                0.13135,                 1.8857,                 2.6478,                 2.3238,                 1.5827,              0.0003323,              0.0003323,              0.0003323
                     29,                 1.0772,                 1.6885,                0.90483,                 1.0756,                0.50117,                0.34521,                0.34225,                0.15262,                0.53174,                0.34359,                0.35175,                0.13779,                 1.9031,                 2.6222,                 2.2455,                 1.5649,             0.00031816,             0.00031816,             0.00031816
                     30,                 1.1331,                 1.7329,                0.91861,                 1.1159,                0.51225,                0.31997,                0.32535,                0.15118,                0.50626,                0.31424,                0.31954,                0.12873,                 1.8765,                 2.6729,                 2.1895,                 1.5582,             0.00030402,             0.00030402,             0.00030402
                     31,                 1.1214,                 1.7378,                0.92132,                 1.1238,                0.48538,                0.36364,                0.35281,                0.15418,                0.48412,                 0.3486,                0.34426,                0.14059,                 1.8877,                 2.6488,                 2.4211,                 1.5701,             0.00028988,             0.00028988,             0.00028988
                     32,                 1.1061,                 1.7132,                0.89331,                 1.0903,                0.52015,                0.33644,                 0.3463,                0.15355,                0.51681,                0.33644,                0.34251,                0.13964,                 1.8679,                 2.5981,                 2.2135,                  1.573,             0.00027575,             0.00027575,             0.00027575
                     33,                 1.0468,                 1.6541,                0.87495,                 1.0871,                0.48542,                 0.3486,                0.35158,                0.15806,                0.48793,                0.34649,                 0.3424,                 0.1366,                 1.8528,                 2.6251,                 2.1048,                  1.552,             0.00026161,             0.00026161,             0.00026161
                     34,                 1.0469,                 1.6018,                0.87716,                 1.0701,                 0.5379,                 0.3433,                0.36023,                0.16242,                0.53918,                0.34591,                0.35575,                0.14748,                 1.8612,                  2.602,                 2.1491,                 1.5567,             0.00024747,             0.00024747,             0.00024747
                     35,                 1.0354,                 1.6027,                 0.8805,                 1.0803,                0.50398,                0.35719,                0.36048,                0.16132,                 0.5002,                 0.3622,                0.35215,                0.14159,                 1.8745,                 2.6168,                 2.0611,                 1.5885,             0.00023334,             0.00023334,             0.00023334
                     36,                  1.038,                 1.6369,                0.90259,                 1.0881,                0.49904,                0.35012,                0.34785,                0.15415,                 0.5072,                0.35584,                0.35145,                0.14172,                 1.8539,                 2.5892,                 2.1823,                 1.5557,              0.0002192,              0.0002192,              0.0002192
                     37,                0.99009,                 1.5554,                0.83326,                 1.0561,                0.52355,                0.37724,                0.37714,                0.16562,                0.51708,                0.36722,                0.36348,                0.14426,                 1.8291,                 2.5923,                 2.3315,                 1.5265,             0.00020506,             0.00020506,             0.00020506
                     38,                0.96685,                 1.5446,                0.79635,                 1.0529,                0.51191,                0.38082,                0.37102,                0.16883,                0.52292,                0.36406,                  0.365,                 0.1473,                 1.8068,                 2.5456,                 2.0502,                 1.5252,             0.00019092,             0.00019092,             0.00019092
                     39,                 1.0243,                 1.5658,                0.85151,                 1.0791,                0.52525,                0.36578,                0.37357,                 0.1681,                0.51997,                0.36722,                0.37153,                0.14701,                 1.8561,                 2.6035,                 2.1117,                 1.5433,             0.00017679,             0.00017679,             0.00017679
                     40,                 1.0025,                  1.586,                0.82273,                 1.0745,                0.52128,                0.37008,                0.38157,                0.17034,                0.52909,                0.35648,                0.37539,                0.14741,                 1.8356,                 2.6197,                 2.1566,                 1.5479,             0.00016265,             0.00016265,             0.00016265
                     41,                 1.8661,                 2.6128,                 1.7464,                 1.5842,                0.52924,                0.39728,                0.41248,                0.18848,                0.56635,                0.38368,                0.41166,                0.16558,                 1.8222,                 2.5029,                 2.2513,                  1.531,             0.00014851,             0.00014851,             0.00014851
                     42,                 1.8307,                 2.5667,                 1.6669,                 1.5484,                 0.5184,                0.40992,                0.40419,                0.18663,                0.53988,                0.39155,                 0.3985,                0.16042,                 1.8114,                  2.508,                 2.2013,                 1.5188,             0.00013437,             0.00013437,             0.00013437
                     43,                 1.8311,                 2.5745,                   1.68,                 1.5727,                0.56889,                0.38368,                0.41254,                 0.1926,                0.55084,                0.38713,                 0.4028,                0.16603,                 1.7996,                 2.4804,                 1.9912,                 1.5207,             0.00012024,             0.00012024,             0.00012024
                     44,                  1.825,                 2.5247,                 1.6104,                 1.5498,                0.54278,                0.40014,                 0.4167,                0.19567,                 0.5519,                0.39673,                0.41792,                0.17406,                 1.7834,                 2.4869,                 2.1255,                 1.5097,              0.0001061,              0.0001061,              0.0001061
                     45,                 1.7454,                 2.5132,                 1.5981,                 1.5271,                0.55516,                  0.398,                0.42347,                0.19871,                0.56847,                0.39604,                0.41806,                0.17002,                 1.7715,                 2.4565,                 1.9674,                 1.4982,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                 1.7354,                  2.498,                 1.5562,                 1.5217,                0.56968,                0.40587,                0.43767,                0.20676,                0.57015,                0.40587,                0.43364,                0.17974,                 1.7636,                 2.4524,                 1.9338,                 1.5021,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                 1.7393,                  2.395,                 1.5261,                 1.5127,                 0.5933,                0.39012,                0.43681,                0.20585,                0.58745,                0.38511,                0.42605,                0.17986,                 1.7557,                 2.4512,                 1.9996,                 1.4905,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                 1.7007,                  2.446,                 1.5291,                 1.4801,                0.55543,                0.41303,                0.44082,                 0.2084,                0.55507,                0.40873,                0.42989,                0.17759,                 1.7611,                 2.4394,                 1.9841,                 1.5023,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                 1.7408,                 2.4278,                 1.4798,                 1.5108,                0.56799,                0.39943,                 0.4388,                0.20712,                0.56188,                0.39513,                0.42442,                0.17518,                 1.7569,                 2.4432,                 1.9127,                 1.4913,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                 1.6769,                 2.3667,                 1.4348,                 1.4913,                0.56059,                0.41643,                0.44013,                0.20873,                0.59419,                  0.398,                0.43426,                0.18134,                 1.7544,                 2.4397,                 1.9289,                 1.4883,             2.1277e-05,             2.1277e-05,             2.1277e-05
