                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9738,                 2.9089,                 3.5495,                 1.3291,                 0.3187,                0.21117,                0.15823,                0.06186,                0.30626,                0.20616,                0.15392,                0.05189,                 2.2287,                 3.1571,                 6.8259,                  1.792,             0.00023678,             0.00023678,             0.00023678
                      2,                 1.9003,                 2.6702,                 2.1132,                 1.3394,                0.22793,                0.16679,                0.10381,                0.03726,                 0.2066,                0.15963,                0.09162,                0.02883,                 2.2936,                 3.3985,                 4.2141,                 1.8085,             0.00046538,             0.00046538,             0.00046538
                      3,                 1.8993,                 2.6711,                 1.8989,                 1.3253,                0.33782,                0.24553,                0.18041,                 0.0674,                0.32994,                 0.2398,                0.17611,                0.05724,                 2.2403,                 3.1141,                 3.5612,                 1.7568,             0.00068455,             0.00068455,             0.00068455
                      4,                  1.841,                 2.5684,                 1.7496,                 1.3253,                0.32612,                0.22405,                0.18533,                0.07483,                0.29853,                 0.2398,                0.18711,                0.06997,                 2.2059,                 3.1873,                 4.3662,                 1.7539,             0.00067159,             0.00067159,             0.00067159
                      5,                  1.725,                 2.4651,                 1.5602,                 1.2753,                 0.3153,                0.21921,                0.18171,                0.07116,                0.33569,                0.21761,                0.18006,                 0.0639,                 2.1878,                 3.1154,                  2.949,                 1.6696,             0.00065745,             0.00065745,             0.00065745
                      6,                 1.6321,                 2.3931,                 1.4268,                 1.2472,                0.40604,                0.24982,                0.22968,                0.09703,                0.37952,                0.26414,                0.22361,                0.08572,                 2.1246,                 3.0681,                 3.0044,                 1.6885,             0.00064331,             0.00064331,             0.00064331
                      7,                 1.5439,                 2.2711,                 1.3761,                 1.2188,                0.37216,                 0.2584,                0.23071,                0.09485,                0.37461,                0.26284,                0.23609,                0.08504,                 2.1042,                 3.0332,                 3.1409,                 1.6567,             0.00062918,             0.00062918,             0.00062918
                      8,                 1.4938,                 2.2785,                 1.3448,                 1.2052,                0.37397,                0.23647,                0.21504,                0.08779,                0.38077,                0.24077,                0.21032,                0.08428,                 2.1109,                  2.864,                 3.4992,                 1.6527,             0.00061504,             0.00061504,             0.00061504
                      9,                 1.4737,                 2.2195,                 1.2848,                 1.1999,                0.49291,                0.22691,                0.22883,                0.09968,                0.49518,                0.22548,                0.21457,                0.08268,                 2.0042,                 2.9482,                 3.0075,                 1.5998,              0.0006009,              0.0006009,              0.0006009
                     10,                 1.4133,                 2.1754,                 1.2403,                 1.1772,                0.40889,                 0.2966,                0.28293,                0.12112,                0.43286,                0.28633,                0.27735,                0.10695,                 1.9951,                 2.8347,                 2.7468,                 1.5801,             0.00058677,             0.00058677,             0.00058677
