                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2527,                  3.622,                 6.2038,                 1.4621,                0.00346,                 0.6607,                0.02005,                0.00614,                0.00341,                0.64996,                0.03022,                0.00993,                 1.9426,                 3.0403,                 4.7424,                 1.3346,             0.00022848,             0.00022848,             0.00022848
                      2,                  2.053,                 2.8929,                 4.0193,                 1.2964,                0.00271,                0.51682,                0.00475,                0.00173,                0.00259,                0.49463,                0.00771,                0.00342,                 2.1418,                  3.186,                 5.1342,                 1.5623,             0.00045491,             0.00045491,             0.00045491
                      3,                 2.0482,                 2.9373,                 3.2265,                 1.3123,                0.58854,                0.03436,                0.06291,                0.02626,                0.83171,                0.01432,                0.06618,                  0.028,                 2.2973,                 5.0508,                 4.1508,                 1.6446,             0.00067201,             0.00067201,             0.00067201
                      4,                  2.065,                 2.8819,                 2.7803,                 1.3659,                0.27725,                0.08948,                0.08052,                0.03208,                0.28827,                0.09019,                0.07516,                0.03031,                 2.3164,                  4.893,                 3.5447,                 1.5739,             0.00067159,             0.00067159,             0.00067159
                      5,                 2.0415,                 2.8512,                 2.3791,                 1.3552,                0.22766,                0.15247,                0.09358,                 0.0382,                0.22816,                0.13457,                0.08016,                0.02826,                 2.4537,                 4.8052,                 2.9827,                 1.6503,             0.00065745,             0.00065745,             0.00065745
                      6,                 1.9891,                 2.7736,                 2.2333,                 1.3191,                 0.2936,                0.23837,                0.18103,                0.06873,                 0.2963,                0.22477,                0.16587,                0.05792,                 2.2221,                 3.5546,                 2.5107,                 1.5578,             0.00064331,             0.00064331,             0.00064331
                      7,                 1.9262,                 2.7417,                 2.0633,                 1.2991,                0.41283,                0.27917,                0.26981,                 0.1079,                0.39193,                0.28605,                0.25172,                0.08897,                 2.1247,                 3.2708,                  2.209,                 1.4824,             0.00062918,             0.00062918,             0.00062918
                      8,                 1.9165,                 2.7179,                 2.0038,                 1.3083,                0.34103,                0.29492,                 0.2436,                0.10166,                0.35434,                0.28561,                0.23552,                0.09146,                 2.0929,                 3.0806,                 2.1531,                 1.5164,             0.00061504,             0.00061504,             0.00061504
                      9,                 1.8527,                 2.5912,                 1.8174,                 1.2413,                0.40042,                0.28776,                0.24753,                0.10339,                0.42004,                0.27845,                0.24489,                0.09633,                 2.1272,                 3.0424,                 2.1796,                 1.5314,              0.0006009,              0.0006009,              0.0006009
                     10,                 1.8611,                  2.649,                 1.8119,                 1.2502,                 0.3684,                0.26414,                0.23541,                0.10172,                0.36809,                0.25412,                0.22723,                0.08726,                 2.1492,                 3.0703,                 2.2533,                 1.4921,             0.00058677,             0.00058677,             0.00058677
