                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0963,                 3.1893,                  4.524,                  1.348,                0.00267,                0.50823,                0.00464,                0.00193,                0.00248,                0.47316,                0.00483,                0.00193,                 2.0481,                 3.3649,                 5.1676,                 1.5611,             0.00023434,             0.00023434,             0.00023434
                      2,                 1.9969,                 2.8131,                  2.709,                 1.2952,                0.23086,                0.12247,                0.08369,                 0.0272,                0.21844,                0.11382,                0.07201,                0.02608,                 2.3954,                 4.2458,                 3.6027,                 1.7335,                0.00047,                0.00047,                0.00047
                      3,                 2.0138,                 2.8036,                 2.3135,                 1.3194,                0.17918,                0.09664,                 0.0567,                0.02193,                0.18491,                0.08661,                0.04733,                0.01546,                 2.7992,                 5.8488,                 3.5176,                 2.2917,             0.00070331,             0.00070331,             0.00070331
                      4,                 2.0336,                 2.8164,                 2.0772,                 1.3712,                0.25473,                0.16607,                0.12686,                 0.0505,                0.24814,                0.16178,                0.11916,                0.04631,                 2.4439,                 4.2789,                 4.9096,                 2.0037,              0.0007034,              0.0007034,              0.0007034
                      5,                 1.9755,                 2.7347,                 1.9293,                 1.3231,                 0.2158,                0.17251,                0.10197,                0.03801,                0.21311,                0.17037,                0.09904,                0.03294,                 2.4735,                 3.9572,                 3.2698,                  1.886,             0.00069986,             0.00069986,             0.00069986
                      6,                 1.9068,                 2.6831,                 1.8044,                 1.2937,                0.29036,                 0.2472,                 0.1809,                0.07192,                0.28835,                 0.2398,                0.17196,                0.06036,                 2.4184,                 3.7517,                 2.5644,                  1.784,             0.00069633,             0.00069633,             0.00069633
                      7,                 1.7821,                 2.5113,                 1.5933,                 1.2554,                0.38424,                 0.2713,                0.22883,                0.09389,                0.38842,                0.26823,                0.22091,                0.08146,                 2.2928,                 3.4243,                  2.657,                 1.7944,             0.00069279,             0.00069279,             0.00069279
                      8,                 1.7607,                 2.5058,                 1.5906,                  1.255,                0.35332,                0.24982,                0.21469,                0.08649,                0.34419,                0.25054,                0.20661,                0.08272,                 2.2937,                  3.275,                 2.5998,                 1.7579,             0.00068926,             0.00068926,             0.00068926
                      9,                 1.7321,                 2.4931,                 1.5244,                 1.2389,                0.36474,                  0.284,                0.23584,                0.09899,                0.35828,                0.27344,                0.21531,                0.08355,                 2.2037,                 3.2107,                 2.2472,                  1.668,             0.00068573,             0.00068573,             0.00068573
                     10,                 1.6534,                  2.404,                 1.4382,                 1.2147,                 0.4441,                0.28275,                0.27022,                0.11405,                0.46458,                0.28346,                0.26543,                0.10599,                 2.2011,                 3.0652,                 2.2547,                 1.6998,             0.00068219,             0.00068219,             0.00068219
